stage,epoch,step,loss,learning_rate,timestamp
pretrain,1,20,8.93730164,0.000499999999725,2026-04-27T19:29:38
pretrain,1,40,8.70751953,0.000499999998899,2026-04-27T19:29:40
pretrain,1,60,8.73890114,0.000499999997523,2026-04-27T19:29:42
pretrain,1,80,8.02334499,0.000499999995596,2026-04-27T19:29:43
pretrain,1,100,8.17593861,0.000499999993119,2026-04-27T19:29:45
pretrain,1,120,8.22774410,0.000499999990091,2026-04-27T19:29:46
pretrain,1,140,7.82160997,0.000499999986512,2026-04-27T19:29:48
pretrain,1,160,8.02129173,0.000499999982383,2026-04-27T19:29:49
pretrain,1,180,7.58735561,0.000499999977704,2026-04-27T19:29:51
pretrain,1,200,7.26710987,0.000499999972474,2026-04-27T19:29:53
pretrain,1,220,7.54846907,0.000499999966694,2026-04-27T19:29:54
pretrain,1,240,8.54068565,0.000499999960363,2026-04-27T19:29:56
pretrain,1,260,7.48965025,0.000499999953481,2026-04-27T19:29:57
pretrain,1,280,7.65348625,0.000499999946049,2026-04-27T19:29:59
pretrain,1,300,7.91390705,0.000499999938067,2026-04-27T19:30:01
pretrain,1,320,7.38981295,0.000499999929534,2026-04-27T19:30:02
pretrain,1,340,7.57864046,0.00049999992045,2026-04-27T19:30:04
pretrain,1,360,7.31470442,0.000499999910816,2026-04-27T19:30:05
pretrain,1,380,7.45066452,0.000499999900631,2026-04-27T19:30:07
pretrain,1,400,7.11571646,0.000499999889896,2026-04-27T19:30:08
pretrain,1,420,7.37005472,0.000499999878611,2026-04-27T19:30:10
pretrain,1,440,7.43163061,0.000499999866774,2026-04-27T19:30:12
pretrain,1,460,7.42101479,0.000499999854388,2026-04-27T19:30:13
pretrain,1,480,7.17359638,0.000499999841451,2026-04-27T19:30:15
pretrain,1,500,6.91234350,0.000499999827963,2026-04-27T19:30:16
pretrain,1,520,6.97532749,0.000499999813925,2026-04-27T19:30:18
pretrain,1,540,8.01618481,0.000499999799336,2026-04-27T19:30:20
pretrain,1,560,7.20127249,0.000499999784197,2026-04-27T19:30:21
pretrain,1,580,7.40967607,0.000499999768507,2026-04-27T19:30:23
pretrain,1,600,7.15827513,0.000499999752267,2026-04-27T19:30:24
pretrain,1,620,7.30281210,0.000499999735476,2026-04-27T19:30:26
pretrain,1,640,6.67617178,0.000499999718134,2026-04-27T19:30:27
pretrain,1,660,7.71708822,0.000499999700243,2026-04-27T19:30:29
pretrain,1,680,7.18905878,0.0004999996818,2026-04-27T19:30:31
pretrain,1,700,7.24008036,0.000499999662807,2026-04-27T19:30:32
pretrain,1,720,6.96312046,0.000499999643264,2026-04-27T19:30:34
pretrain,1,740,7.00348663,0.00049999962317,2026-04-27T19:30:36
pretrain,1,760,6.87501907,0.000499999602526,2026-04-27T19:30:37
pretrain,1,780,7.14185762,0.000499999581331,2026-04-27T19:30:39
pretrain,1,800,7.00816774,0.000499999559585,2026-04-27T19:30:40
pretrain,1,820,7.75234222,0.000499999537289,2026-04-27T19:30:42
pretrain,1,840,7.07440996,0.000499999514443,2026-04-27T19:30:43
pretrain,1,860,6.91850376,0.000499999491046,2026-04-27T19:30:45
